fecha,division,mensual,12_m
2025-05-01,Alimentos y bebidas no alcohólicas,5.018,28.259
2025-05-01,Bebidas alcohólicas y tabaco,1.258,10.199
2025-05-01,Bienes y servicios diversos,7.688,30.276
2025-05-01,Comunicaciones,1.284,3.978
2025-05-01,Educación,-0.154,2.747
2025-05-01,"Muebles, bienes y servicios domésticos",6.341,22.500
2025-05-01,Prendas de vestir y calzado,5.542,19.737
2025-05-01,Recreación y cultura,2.428,15.056
2025-05-01,Salud,3.005,14.109
2025-05-01,Transporte,0.923,11.602
2025-05-01,Vivienda y servicios básicos,1.029,5.321
2025-06-01,Alimentos y bebidas consumidos fuera del hogar,4.211,19.779
2025-06-01,Alimentos y bebidas no alcohólicas,8.497,37.787
2025-06-01,Bebidas alcohólicas y tabaco,1.828,12.024
2025-06-01,Bienes y servicios diversos,9.210,41.351
2025-06-01,Comunicaciones,0.847,5.015
2025-06-01,Educación,0.085,2.751
2025-06-01,"Muebles, bienes y servicios domésticos",6.080,29.634
2025-06-01,Prendas de vestir y calzado,5.519,25.795
2025-06-01,Recreación y cultura,2.319,17.463
2025-06-01,Salud,4.011,17.684
2025-06-01,Transporte,1.409,12.605
2025-06-01,Vivienda y servicios básicos,0.749,5.976
2025-07-01,Alimentos y bebidas consumidos fuera del hogar,1.849,21.439
2025-07-01,Alimentos y bebidas no alcohólicas,-0.367,37.215
2025-07-01,Bebidas alcohólicas y tabaco,1.047,13.275
2025-07-01,Bienes y servicios diversos,4.288,46.964
2025-07-01,Comunicaciones,-0.649,3.393
2025-07-01,Educación,0.286,3.074
