departamento,fecha,componente,inflacion_28d
santa_cruz,2024-09-10,Frutas y Verduras,-0.024
santa_cruz,2024-09-10,Granos y Hortalizas,0.060
santa_cruz,2024-09-10,Lácteos y Derivados,1.097
santa_cruz,2024-09-10,Panadería,1.002
santa_cruz,2024-09-10,Pastelería y Masas Típicas,0.853
cochabamba,2024-09-11,Abarrotes,3.107
cochabamba,2024-09-11,Bazar,0.908
cochabamba,2024-09-11,Bebidas,2.534
cochabamba,2024-09-11,Carnes,-1.127
cochabamba,2024-09-11,Compuesto,1.984
cochabamba,2024-09-11,Congelados,1.285
cochabamba,2024-09-11,Cuidado Personal,3.061
cochabamba,2024-09-11,Cuidado del Bebé,7.848
cochabamba,2024-09-11,Cuidado del Hogar,2.139
cochabamba,2024-09-11,Fiambres,2.128
cochabamba,2024-09-11,Frutas y Verduras,-1.523
cochabamba,2024-09-11,Granos y Hortalizas,0.150
cochabamba,2024-09-11,Lácteos y Derivados,0.753
cochabamba,2024-09-11,Panadería,1.864
cochabamba,2024-09-11,Pastelería y Masas Típicas,1.412
la_paz,2024-09-11,Abarrotes,3.073
la_paz,2024-09-11,Bazar,1.204
la_paz,2024-09-11,Bebidas,2.047
la_paz,2024-09-11,Carnes,-1.680
la_paz,2024-09-11,Compuesto,1.538
la_paz,2024-09-11,Congelados,0.939
la_paz,2024-09-11,Cuidado Personal,3.988
la_paz,2024-09-11,Cuidado del Bebé,7.232
la_paz,2024-09-11,Cuidado del Hogar,2.260
la_paz,2024-09-11,Fiambres,2.498
la_paz,2024-09-11,Frutas y Verduras,-2.706
la_paz,2024-09-11,Granos y Hortalizas,-0.398
la_paz,2024-09-11,Lácteos y Derivados,1.493
la_paz,2024-09-11,Panadería,0.940
la_paz,2024-09-11,Pastelería y Masas Típicas,0.434
santa_cruz,2024-09-11,Abarrotes,4.275
santa_cruz,2024-09-11,Bazar,2.221
santa_cruz,2024-09-11,Bebidas,1.359
santa_cruz,2024-09-11,Carnes,0.027
santa_cruz,2024-09-11,Compuesto,2.232
santa_cruz,2024-09-11,Congelados,4.011
santa_cruz,2024-09-11,Cuidado Personal,2.826
santa_cruz,2024-09-11,Cuidado del Bebé,6.695
santa_cruz,2024-09-11,Cuidado del Hogar,2.049
santa_cruz,2024-09-11,Farmacia Otc,0.000
santa_cruz,2024-09-11,Fiambres,2.300
santa_cruz,2024-09-11,Frutas y Verduras,-0.037
santa_cruz,2024-09-11,Granos y Hortalizas,0.060
santa_cruz,2024-09-11,Lácteos y Derivados,1.097
santa_cruz,2024-09-11,Panadería,1.002
santa_cruz,2024-09-11,Pastelería y Masas Típicas,0.853
cochabamba,2024-09-12,Abarrotes,3.107
cochabamba,2024-09-12,Bazar,0.834
cochabamba,2024-09-12,Bebidas,2.534
cochabamba,2024-09-12,Carnes,-1.127
cochabamba,2024-09-12,Compuesto,1.982
cochabamba,2024-09-12,Congelados,1.285
cochabamba,2024-09-12,Cuidado Personal,3.069
cochabamba,2024-09-12,Cuidado del Bebé,7.848
cochabamba,2024-09-12,Cuidado del Hogar,2.139
cochabamba,2024-09-12,Fiambres,2.132
cochabamba,2024-09-12,Frutas y Verduras,-1.496
cochabamba,2024-09-12,Granos y Hortalizas,0.150
cochabamba,2024-09-12,Lácteos y Derivados,0.752
cochabamba,2024-09-12,Panadería,1.864
cochabamba,2024-09-12,Pastelería y Masas Típicas,1.412
la_paz,2024-09-12,Abarrotes,3.076
la_paz,2024-09-12,Bazar,1.094
la_paz,2024-09-12,Bebidas,2.079
la_paz,2024-09-12,Carnes,-1.307
la_paz,2024-09-12,Compuesto,1.573
la_paz,2024-09-12,Congelados,0.939
la_paz,2024-09-12,Cuidado Personal,3.987
la_paz,2024-09-12,Cuidado del Bebé,7.232
la_paz,2024-09-12,Cuidado del Hogar,2.282
la_paz,2024-09-12,Fiambres,2.498
la_paz,2024-09-12,Frutas y Verduras,-2.455
la_paz,2024-09-12,Granos y Hortalizas,-0.398
la_paz,2024-09-12,Lácteos y Derivados,1.526
la_paz,2024-09-12,Panadería,0.940
la_paz,2024-09-12,Pastelería y Masas Típicas,0.387
santa_cruz,2024-09-12,Abarrotes,4.271
santa_cruz,2024-09-12,Bazar,2.480
santa_cruz,2024-09-12,Bebidas,1.398
santa_cruz,2024-09-12,Carnes,-0.007
santa_cruz,2024-09-12,Compuesto,2.260
santa_cruz,2024-09-12,Congelados,4.009
santa_cruz,2024-09-12,Cuidado Personal,2.864
santa_cruz,2024-09-12,Cuidado del Bebé,6.820
santa_cruz,2024-09-12,Cuidado del Hogar,2.054
santa_cruz,2024-09-12,Farmacia Otc,0.000
santa_cruz,2024-09-12,Fiambres,2.270
santa_cruz,2024-09-12,Frutas y Verduras,0.294
santa_cruz,2024-09-12,Granos y Hortalizas,0.060
